order,tokens_diff,tokens_diff_ci_low,tokens_diff_ci_high,turns_diff,turns_diff_ci_low,turns_diff_ci_high
boiled_egg,29604.266666666666,22509.412435214566,36699.12089811877,192.06666666666666,146.39024874912656,237.74308458420677
boiled_mushroom,31101.466666666667,25640.48014619418,36562.45318713916,210.26666666666665,172.0858947752784,248.4474385580549
taro_bean_and_bell_pepper_patty,16246.599999999999,10630.521489524403,21862.678510475595,98.2,64.01024829312476,132.38975170687524
zucchini_green_pea_and_onion_patty,18648.1,15162.962211721957,22133.23778827804,119.4,95.20425183356933,143.59574816643067
