order,mode,total_calls,positive_calls,zero_token_calls,mean_tokens_per_call,std_tokens_per_call,mean_positive_tokens,median_positive_tokens
boiled_egg,Free-form,610,589,21,240.1295081967213,501.3649722675437,248.69100169779287,144.0
boiled_egg,Reduced,50,42,8,242.1,505.1324033339766,288.2142857142857,175.5
boiled_mushroom,Free-form,528,515,13,361.0890151515151,752.7906851115254,370.20388349514565,152.0
boiled_mushroom,Reduced,46,46,0,305.0,546.9921388831837,305.0,195.0
taro_bean_and_bell_pepper_patty,Free-form,178,166,12,378.14044943820227,784.8529081981804,405.4759036144578,155.0
taro_bean_and_bell_pepper_patty,Reduced,21,21,0,146.1904761904762,54.876788396934316,146.1904761904762,128.0
zucchini_green_pea_and_onion_patty,Free-form,303,297,6,321.6831683168317,686.5929358434977,328.1818181818182,147.0
zucchini_green_pea_and_onion_patty,Reduced,28,28,0,167.39285714285714,88.76241250110246,167.39285714285714,149.0
