order,tokens_diff,tokens_diff_ci_low,tokens_diff_ci_high,turns_diff,turns_diff_ci_low,turns_diff_ci_high
boiled_egg,13437.4,6967.298946059446,19907.501053940552,56.0,23.212038523601713,88.7879614763983
boiled_mushroom,17662.5,9301.544878141414,26023.455121858584,48.199999999999996,28.56953478787513,67.83046521212486
taro_bean_and_bell_pepper_patty,12847.8,7198.687251960357,18496.912748039642,31.400000000000002,17.090657597219924,45.70934240278008
zucchini_green_pea_and_onion_patty,18556.6,11807.121859253413,25306.078140746584,55.0,27.832957614050073,82.16704238594993
