order,mode,total_calls,positive_calls,zero_token_calls,mean_tokens_per_call,std_tokens_per_call,mean_positive_tokens,median_positive_tokens
boiled_egg,Always Talk,3261,3255,6,152.17295308187673,61.49474129460279,152.45345622119817,146.0
boiled_egg,Free-form,3015,3001,14,153.23383084577114,84.39743906298008,153.94868377207598,147.0
boiled_egg,Pruning Only,2400,2394,6,147.70333333333335,47.175772060467445,148.07351712614872,142.0
boiled_egg,Reduced,134,114,20,133.8507462686567,74.94283610625781,157.33333333333334,150.0
boiled_mushroom,Free-form,3293,3280,13,147.3331308836927,44.34211809609527,147.9170731707317,142.0
boiled_mushroom,Reduced,139,119,20,134.14388489208633,68.50362956120729,156.6890756302521,150.0
