order,mode_key,mode,file,tokens,turns,success,timesteps,nonzero_calls,zero_token_calls,avg_tokens_per_call,median_tokens_per_call,max_tokens_per_call
boiled_egg,baseline,Baseline,experiment_2025-11-06_03-50-32_boiled_egg.json,13612,93,1,14,93,0,146.36559139784947,136.0,655.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_03-57-03_boiled_egg.json,51528,347,1,28,345,2,149.35652173913044,148.0,269.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_04-18-30_boiled_egg.json,60780,409,1,43,409,0,148.60635696821515,139.0,1047.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_05-46-09_boiled_egg.json,27098,170,1,14,170,0,159.4,159.0,344.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_06-10-47_boiled_egg.json,30186,195,1,14,194,1,155.5979381443299,152.0,271.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_06-25-00_boiled_egg.json,22816,146,1,14,146,0,156.27397260273972,155.0,288.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_06-34-48_boiled_egg.json,22544,142,1,14,141,1,159.88652482269504,159.0,294.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_06-44-44_boiled_egg.json,24019,177,1,14,177,0,135.70056497175142,131.0,249.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_06-55-17_boiled_egg.json,26473,159,1,14,156,3,169.69871794871796,140.5,3479.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_07-06-18_boiled_egg.json,23931,170,1,14,168,2,142.44642857142858,135.0,267.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_22-11-18_boiled_egg.json,26966,168,1,14,165,3,163.43030303030304,161.0,308.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_22-24-08_boiled_egg.json,21522,141,1,14,141,0,152.63829787234042,153.0,288.0
boiled_egg,baseline,Baseline,experiment_2025-11-06_22-34-27_boiled_egg.json,57358,341,1,14,340,1,168.7,162.0,2105.0
